Judet,Indicativ,BoliInfectioase,Tuberculoza,Tumori,BoliEndocrine,Diabet,TulbMentale,SistNervORL,ApCirculator,BoalaIschemica,BoliCerebroVasculare,BRespiratorii,BDigestive,BGenitoUrinar,SarcinaNastere,MalfCongenitale,Accidente,AlteCauze
 Alba,ab,52.66415973,1.847865254,239.6065279,19.40258516,13.8589894,0.307977542,14.16696694,767.7880129,345.2428249,194.0258516,95.47303811,49.89236185,19.40258516,,3.079775423,47.12056397,18.78663008
 Arad,ar,11.99947202,5.999736012,250.5489758,33.11854278,32.39857446,0.479978881,28.07876453,777.5657871,312.9462304,144.4736432,121.9146358,78.71653647,33.59852167,,1.679926083,43.67807816,22.31901796
 Arges,ag,13.50665722,5.541192707,232.7300937,46.92697574,44.50270393,3.463245442,25.28169173,756.02648,217.8381383,178.5303025,87.96643423,70.30388247,25.10852945,0.346324544,2.251109537,44.6758662,12.64084586
 Bacau,bc,40.64301712,8.745965709,263.0649294,12.51873523,7.031070472,4.801706664,27.43832379,775.6471157,221.3929751,246.258956,83.34390852,144.9086475,30.69662474,0.171489524,2.915321903,70.82517329,31.72556189
 Bihor,bh,5.527827261,3.38802316,258.9162962,0.356634017,0.356634017,0.178317008,4.814559227,718.9741779,367.3330373,145.1500448,91.1199913,71.50512037,71.14848636,0.356634017,2.139804101,46.5407392,19.43655392
 Bistrita-Nasaud,bn,56.03709943,5.028970462,202.5956672,7.184243517,6.825031341,,8.621092221,714.4730178,447.9375833,125.0058372,58.19237249,45.26073416,11.49478963,0.359212176,3.592121759,46.69758286,19.3974575
 Botosani,bt,8.728588508,1.851518774,272.7022652,47.87498545,47.61048277,3.438534867,9.522096554,832.6544431,267.4122116,215.5696859,110.0331157,104.4785594,12.43162606,,1.851518774,67.18368124,22.74723066
 Braila,br,35.78899089,5.559454895,346.4235332,22.58528551,22.58528551,1.042397793,48.99269627,919.7423193,365.8816253,230.3699122,137.5965087,106.6720408,37.52632054,0.347465931,1.737329655,59.4166742,24.32261517
 Brasov,bv,7.597176021,1.447081147,266.8055865,15.73700747,13.7472709,0.904425717,14.28992633,585.5252091,243.8331732,134.0358912,85.9204431,61.3200636,52.09492129,0.180885143,1.808851434,38.70942068,20.80179149
 Buzau,bz,7.047524618,1.944144722,322.2419877,21.14257385,18.95541104,5.589416076,32.32140601,948.9856425,191.4982551,314.2223907,119.3218823,99.8804351,33.05046028,,0.729054271,62.21263111,5.346397986
 Calarasi,cl,14.16947399,2.833894799,240.526821,53.84400118,53.84400118,5.667789597,46.40502733,853.0023344,207.582794,319.8758754,127.8795028,75.80668587,32.94402704,,2.125421099,52.42705378,13.81523714
 Caras-Severin,cs,78.37830843,9.242725051,252.8809574,11.09127006,10.72156106,2.587963014,17.00661409,865.8584828,260.2751374,260.6448464,89.09986949,58.41402232,29.57672016,,0.739418004,38.44973621,33.64351919
 Cluj,cj,12.28341654,2.259019134,284.0716561,5.788736531,5.082793051,0.847132175,11.57747306,619.1124314,254.1396526,151.354282,67.48819663,59.15806357,16.9426435,,1.976641742,27.390607,17.78977568
 Constanta,ct,19.17049705,5.944340171,251.1483722,17.98162902,17.98162902,0.445825513,16.64415248,675.4256519,140.286428,128.3977477,94.21779171,84.26102192,16.34693547,,1.188868034,47.25750436,21.39962461
 Covasna,cv,13.86873245,4.457806858,255.5809265,15.35466807,14.85935619,4.457806858,17.83122743,696.4084936,348.6995587,163.94823,62.90460789,68.35303849,36.15776674,,1.485935619,62.90460789,19.31716305
 Dambovita,db,6.745555599,3.679393963,262.8722576,57.03060643,56.21296332,1.022053879,17.78373749,757.341924,258.1708097,254.0825942,65.00262668,81.15107796,20.2366668,0.204410776,1.43087543,39.45127971,13.08228965
 Dolj,dj,13.63381185,8.821878258,238.5115085,3.849546876,3.368353517,2.887160157,23.7388724,953.2440452,276.8465795,371.0000802,91.10594274,86.93560029,15.55858529,0.320795573,1.603977865,46.83615366,18.92693881
 Galati,gl,16.53541268,10.16031381,273.1331419,15.1408598,14.74241612,0.597665518,37.45370583,763.8165326,374.1386146,142.0451716,96.62259216,121.7245439,25.89883913,,1.593774716,74.11052429,24.30506442
 Giurgiu,gr,16.99421441,4.90943972,273.0403783,11.32947628,9.44123023,0.377649209,29.83428753,1033.625886,259.4450067,309.6723515,85.72637049,92.14640705,10.19652865,,2.265895255,56.64738138,9.44123023
 Gorj,gj,5.098740292,1.91202761,251.4316307,16.57090595,16.57090595,0.637342537,6.054754097,778.5139084,261.6291113,329.1874201,69.47033648,83.17320102,32.1857981,0.318671268,0.956013805,48.43803278,8.604124244
 Harghita,hr,25.82926853,,260.2795522,7.285178305,6.954033836,,8.940900647,675.86586,289.7514098,154.6444667,92.38930668,55.30112622,21.52439045,0.331144468,2.649155747,75.50093879,22.51782385
 Hunedoara,hd,14.13901268,10.73517629,327.2919601,25.39785611,24.6123554,0.523667136,20.94668545,898.0891386,363.4249925,256.3350632,89.02341316,81.43023968,6.545839203,,0.261833568,62.57822278,7.331339907
 Ialomita,il,9.011832928,1.959094115,305.6186819,15.2809341,14.49729645,2.350912938,18.41548468,924.6924222,259.3840608,290.7295666,77.97194577,79.14740224,16.84820939,,0.391818823,53.67917875,19.19912233
 Iasi,is,49.32384701,3.910586336,244.348572,14.75930972,14.12856999,1.135331517,36.33060854,537.2641033,101.8013927,114.6684832,77.20254314,75.05802806,15.01160561,0.126147946,0.756887678,59.79412655,17.78686043
 Ilfov,if,16.25323779,2.674583434,176.3167694,4.320480931,3.086057808,1.028685936,11.3155453,482.8651784,183.517571,87.23256737,53.28593149,41.97038619,11.93275686,0.205737187,0.822948749,26.74583434,9.052436237
 Maramures,mm,16.75085603,3.698240943,223.4172616,14.14033302,9.789461319,2.610523018,21.31927132,651.7605802,277.1505271,179.4734575,81.57884432,100.2875926,20.01400981,,2.392979433,45.03152207,32.84908131
 Mehedinti,mh,11.65840863,7.078319524,256.9013615,1.24911521,1.24911521,,1.665486947,1007.203231,283.5491527,264.3960528,95.3491277,87.4380647,34.97522588,,1.24911521,47.88274972,19.98584336
 Municipiul Bucuresti,b,37.83893282,3.221496445,262.4154562,6.55219616,4.91414712,0.655219616,10.97492857,675.5860257,250.9491129,186.0277693,76.76989834,61.37223736,20.42101136,0.054601635,0.928227789,32.21496445,18.18234434
 Mures,ms,21.15201749,4.492463892,302.4925687,20.7776455,19.28015754,0.935929977,30.51131727,663.948726,349.2890676,149.1872384,144.1332165,72.25379426,7.113067829,0.187185995,3.182161923,62.1457505,29.38820129
 Neamt,nt,17.26813552,7.498006212,290.1501192,33.6274218,32.94578487,0.681636928,9.315704688,848.1835512,219.0326663,213.3523586,120.422524,127.9205302,32.94578487,0.227212309,1.817698476,72.93515133,29.08317561
 Olt,ot,13.00685283,8.671235217,229.2776606,3.570508619,2.805399629,2.550363299,12.24174384,1063.246459,215.2506625,356.0307166,114.0012395,95.38358739,19.38276107,,0.76510899,60.95368285,13.26188916
 Prahova,ph,13.56241226,3.635285761,267.7527782,28.52301136,27.12482453,0.279637366,39.00941259,798.9239554,318.9264162,162.0498537,121.0829796,100.9490892,22.3709893,,0.838912099,46.97907753,16.49860461
 Salaj,sj,8.060998046,4.741763557,286.8766952,5.690116268,5.215939912,3.31923449,9.009350758,876.2779053,389.298788,242.3041177,72.54898242,85.35174402,9.957703469,,1.896705423,64.01380802,23.70881778
 Satu Mare,sm,18.0751202,7.23004808,266.0055189,4.217528047,0.90375601,2.71126803,15.06260017,684.7458036,338.0047477,182.859966,113.2707533,95.19563305,20.78638823,,1.506260017,52.71910058,39.76526444
 Sibiu,sb,25.92320251,3.489661877,232.8102995,5.982277503,5.234492815,0.249261563,36.39218814,588.7558109,257.9857173,101.9479791,125.378566,60.32129815,14.20790907,,1.495569376,47.60895846,20.6887097
 Suceava,sv,16.51551496,4.649999359,231.2172095,4.489654553,3.52758572,1.282758444,10.42241236,793.7067871,261.6827225,203.3172133,63.49654297,61.5724053,19.40172146,0.160344805,2.084482471,55.15861308,21.48620393
 Teleorman,tr,22.01998691,7.842735063,294.1025649,8.14437872,8.14437872,3.318080219,7.239447751,1242.771864,274.7973709,414.7600274,88.07994763,97.73254464,24.73477982,,1.206574625,57.91558201,12.66903356
 Timis,tm,16.86665703,6.378147616,242.3696094,3.259942115,3.259942115,1.133892909,59.10416791,530.0949352,150.807757,90.00274969,85.18370482,50.59997109,36.85151956,,0.708683068,32.31594792,30.0481621
 Tulcea,tl,33.10401903,5.172502974,357.9372058,16.55200952,16.55200952,0.517250297,23.27626338,842.6007345,233.2798841,218.2796255,84.31179848,104.4845601,18.10376041,,2.586251487,72.41504164,19.6555113
 Valcea,vl,20.89929973,2.576625994,192.674366,6.298419097,6.298419097,0.286291777,14.02829708,588.0433102,121.3877135,261.0981007,49.81476922,76.15361272,14.88717241,,1.145167109,41.79859946,8.302461537
 Vaslui,vs,33.01003183,2.952116668,284.2083228,9.929846973,9.929846973,0.268374243,14.22383485,790.3621442,267.0323713,265.6905001,144.3853425,123.4521516,8.856350003,,2.14699394,78.36527881,26.03230152
 Vrancea,vn,9.712631434,3.759728297,247.5154462,30.39113707,25.378166,21.30512702,32.27100122,823.0671863,187.6731042,154.1488602,93.67989673,114.9850237,19.73857356,0.313310691,2.819796223,62.66213828,24.75154462
