Code,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
ALB,2.253925290173989,-0.6682783202545757,-0.2389932625771602,-0.5128612562836171,1.5434756661231328,1.3594990728860528,0.36083105370597945,-1.1162791863607313,-0.8618641550048363,0.13529144295124243,-0.2668846000218635,-0.0873009519072449
AUT,0.5383925979639071,0.9105580170404027,-0.020190616936257115,-0.06688375281506272,-0.6706765914525925,0.3715479559068414,-0.8132559500609813,0.2185915605276301,0.588987478596777,0.6944627347173844,0.3033316679442123,0.044112732200820015
BLR,-1.0998610915132718,-2.029623218580976,0.7146097176164994,-1.5575804173332923,-0.6924305573559819,0.5230593686860824,0.20336345403696157,0.34046506394546316,0.05147056320053123,0.21352228783948124,-0.030574259074409554,0.03636592212740064
BEL,-0.41609257723802867,2.343817748622262,-0.044275217614962156,-0.37715233876244814,0.3642207008870292,-0.5154460092267166,-0.01036546079552993,0.08316245197430487,0.020288187185585397,-0.013197299035252519,0.021423934897422753,0.03172092994289755
BIH,0.3111331044315688,-2.9893191647015405,-2.9710735216613795,0.2552843882965664,0.7365187390082879,-1.5462910087519814,0.16377955467655692,0.6079262712875941,0.9303468230485284,-0.2734336797079012,-0.24001131817073196,0.007810472186304707
BGR,2.1866183455766754,-0.7208244747906216,-0.712818502862936,-0.17455718300384962,0.2795667721015812,0.8094045138487838,-0.159538927349647,0.172626642838944,-0.40157121604665125,-0.3587748927797917,0.5797764743727609,0.04161787952835894
HRV,0.1730761745617273,-1.877793263334936,-1.5189923021222753,-0.5127073119140358,0.17642969067631156,-0.31689857458017145,0.20144494014965403,0.5176364151678732,0.6125891957644926,0.06884035612593659,-0.2091602055069168,-0.026557461763427548
CZE,-0.7372236210835564,0.22408216444442539,-0.9588610341979956,0.2900039171874421,-1.4778089127660652,-0.12905762161540102,-0.8610718539826641,-0.2569200556643256,-0.11044866290183658,-0.15037637253286879,-0.24571367618819076,0.04366471487430773
CYP,6.2456340901013885,-0.026240901779813676,1.6060598784833362,1.4067879541990649,-0.5646545548062027,0.5695851025465659,0.22192745346817402,-0.23936700084862692,0.3288795151221699,0.39089775106896063,-0.6808096476963565,0.0283636214258719
DNK,-2.3884816331998016,1.9096439873988047,-0.7738936298048767,1.0128810495499085,-0.3764952848853372,1.0291420948404346,0.631686957346091,0.022841258567369932,0.37733001094690033,-0.09531118085901791,-0.10091865954177728,0.05785136628354626
GBR,-1.394419953411117,2.31429287619785,-0.0781358625368742,-0.5814974677579817,0.74648207228588,-0.6734935623754055,0.4216248343660667,-0.3475616273741293,0.01417362027241617,0.13274653020630978,-0.3756382693336252,0.056717267539781235
EST,-1.363674643678789,-1.5938686662015833,2.3624842315817096,1.1825187967088302,0.06374859032246363,-0.6940328973367524,0.047890081590381446,-0.7952148293279286,0.5469451909410858,-1.0481537281754534,0.36210158666138226,-0.024938767700323328
FIN,-2.9902100159969414,-1.1163160084655288,2.78314637697298,1.9664904520383655,2.3568040472982736,0.9286170512363267,-0.3146489558152983,1.0675371825070286,0.4069000438423247,0.3254555863341028,0.10984629094951959,0.005492084186895396
FRA,0.3585033954760485,2.0900663512189057,0.006257289662966141,-0.35500586029392056,0.3258413795578954,-0.5089271487424046,-0.33944232943008124,0.21740235827132276,-0.050646845964851625,0.42033210394700704,0.2472287850171439,-0.01224133024731311
DEU,-0.759876092973612,1.8360274390676175,-0.01234194678556136,-0.1640953442143357,-0.32727377852170253,0.21640865910082882,-0.4840147083277678,-0.2157410594849446,0.37710620442760434,-0.05354914769045671,0.09237038689368267,0.041282109958746926
GRC,3.950820822974381,0.026075751482281646,0.9795199068543493,0.5800221994424973,-0.1849612437313535,0.5036868464035359,-0.13013029054164546,-0.9811871671834737,0.5347984979511917,-0.6239130422230292,-0.011024239991602736,0.05746650505632961
HUN,0.2658199274862287,-0.47472413704756783,0.1714539913252813,-1.132254681180773,-0.3226069601527948,0.7728632349512747,0.6277872844673428,0.9418588242843435,-0.1398979411400053,0.41648240892503674,0.1290181876432333,-0.04263046207521165
ISL,-2.866142064241654,1.2909149962213189,-0.3201261306824545,0.4346280142578486,-0.2911196050008759,0.17932358949345148,1.1547465555849972,-0.3964244303267893,-0.028953291428998607,0.19035455526124173,0.0614424488868891,0.04666820007608191
IRL,-1.4264899218090303,2.7365355285583046,0.262463502278214,-1.7515671700104716,1.277728499566641,-0.8909705516508301,0.2583373491288696,-0.22040604306337813,-0.3471645695684395,0.08831614229652895,-0.42123692750532454,0.02692527932041644
ITA,2.789703123552762,1.6132186393141918,0.8027284664659456,-0.009406930983796817,-0.19925289192866694,0.25429568082234266,-0.760311488679812,0.2669020183489836,0.35249978658762016,0.355764878713307,0.32286759823804234,-0.04888905571337088
LVA,-2.2680730787254837,-1.75996230244749,2.003404977937213,-0.04496821203603777,0.18826724983624504,-0.3187269039192265,-0.6370350164085105,0.04933135430602856,-0.6933172705282356,0.05366654810051824,-0.2433038164116334,0.02271044070379169
LTU,-2.2471892819716643,-2.122397258625973,1.9032236085419727,0.08587220376127636,0.41592767892804344,-0.24026575324067306,-0.7433570669079144,0.3333940587142331,-0.5275369206815055,-0.16459559987383215,-0.30269651621314886,0.02197654489278822
MKD,2.047004886673473,-0.9273200097123301,-0.7670924241011344,-0.2045771814936952,0.6495121384497868,0.5578184565484127,-0.11270938294617702,-0.22145291689987012,-0.03643973898612429,-0.12508410740544107,0.03934606778704737,0.010430396591558911
MLT,4.430539172301448,0.5468629411694493,1.0155863097642701,1.471052973747854,-0.9924478448324302,-1.4572760910797318,1.3136029987906859,1.1547693094027196,-0.668999589471156,-0.05878883916930566,-0.07404501627301174,-0.03049281664971204
MDA,0.614241165973168,-0.8488986118493982,0.08859725738484565,-1.259900356344933,0.00787854940728178,0.5296261240844355,1.2416681428969316,0.8034558890529679,-0.6998872086256089,-0.9479102702485183,0.21785221563508866,0.06148626782405886
MNE,0.7755194882067679,-1.5163902022083742,-3.0095205857120257,0.7733924568170887,1.226673806921041,0.11563509249319173,-0.5643817163450405,-0.42826694306296675,-0.7955192011106128,0.1458993937458886,0.2653876863877068,-0.022751014307913434
NLD,-0.7901205362480318,2.8656890113411477,0.20975466770268744,-0.5142623228159868,0.17848524416827263,0.4937774383136994,-0.1686289155542994,0.2644612356038993,0.45489880709907715,-0.7273013229686276,-0.2891627848979528,-0.22603773593200482
NOR,-2.82091511429286,1.2238445581490018,-0.37659055708962663,0.6937509193245855,-0.5849154942185363,0.6959833518444329,0.8886917163287362,-0.22908705336619542,0.08127376841641576,0.004740229144592489,0.08221736191457812,0.04193903765845969
POL,-1.6190151904361416,-1.2790103393280463,0.5451605765247243,-1.1206638406338372,-1.5206986807827736,0.34581723140514997,-0.0004537007198870508,-0.6463348633013141,-0.28067435909009997,0.08074055623662892,0.0072379912213011155,0.0037332328296260098
PRT,2.066877992156083,1.885288319171853,0.3832346705118174,-0.07648802543210323,0.20504354392868254,-0.758690406894712,-0.410182842538213,0.006322412351529618,-0.44687389899215624,-0.04636205668817199,0.5731615455080405,0.01900880955824491
ROU,1.2849659210214022,-0.6563695029349114,-1.0170290383683547,-0.5168320122146077,0.2082636984203917,0.7485640889297653,-0.41726523379511093,0.4241712895530978,0.2713664340629965,0.14038918994375216,-0.4923147034896177,0.06666933160178021
RUS,-1.4168142019580279,-2.4317288729342184,0.597459315950116,0.5540129117769089,-0.868484861408743,-1.1219477465019636,-0.5046872522835205,-0.4737936029314749,-0.3885464246706995,0.11353181050863503,-0.09613381628964895,0.0006448462889303563
SRB,0.5130551418926029,-1.9131817949745031,-1.9683642997861832,0.4919142473626337,0.7002257255305705,-0.28984717220035516,0.059051743957797075,-0.3341130907423663,0.273143097429805,0.03183943539621137,0.1581609876107805,0.01761833839175031
SVK,-0.49718175418651905,-1.1099859152737075,-0.03245141355024055,-1.0047629116352679,-0.9503995106489417,0.14110421979272378,-0.27363712425835596,0.29635195271433445,0.16856421270497274,0.23908483951338602,0.4102161630021477,-0.04318630795783818
SVN,-0.8241074309690445,-1.1335681681243477,0.2046924339018338,-1.4216436851538348,-0.31516682129157875,0.13594679762371883,0.4430695357357157,-0.3145636513924832,0.8825707588233707,-0.16452048139549524,0.06773497865790029,-0.05131186439557156
ESP,1.0974998300880612,1.376817973735251,1.1034200787558797,-0.8772036381137114,0.9791280506303619,-1.5557418606477764,0.40960689052220445,-0.6915320156496971,0.31208143315350156,0.46090299639742244,0.2950660247718355,0.00012596109214113582
SWE,-2.9281134707634138,0.6643280918115275,-1.6063155858724059,2.7805125245101565,-0.586531143193661,0.09592387396155094,0.7273768749182099,-0.2817667776495681,-0.3277704801142081,0.4442063542684221,0.10267445315111334,-0.07892377849292165
CHE,-0.6896452979906309,3.2186489100773423,-1.499892269333949,0.5749878667577835,-0.5849399736447329,-0.0030082225295023357,-1.508729914620705,0.6523192047556237,-0.4939983817005144,-0.7201259261730043,-0.22989203251293727,0.0061830674254047535
UKR,-0.3596834979240663,-1.880912171451493,0.18370094338001058,-0.31724097531120987,-1.1193571334252006,-0.35700831442599523,-0.16263929031019547,-0.2515144395450265,-0.2861034735508237,0.42392981528416995,-0.13894234803308522,-0.10332381242344169
